dataset,mol_id,pdb_id,method,tag,subset_protocol,search_depth,thread,box_size,returncode,stdout_tail,stderr_tail,receptor_pdbqt,ligand_pdbqt,output_pdbqt,center_x,center_y,center_z,status,n_poses,top_score,best_score,top_rmsd,oracle_rmsd,top_success_2a,oracle_success_2a,native_heavy_atoms,pose_heavy_atom_counts,runtime_sec
astex_diverse,1N46_PFA,1n46,PocketVina-GPU native-pocket subset,subset200_nativebox_sdepth8_t1000_seed101,PoseBench proportional stratified subset; native ligand center; fixed 24A box,8,1000,24.0,0.0,"23).          #
#                                                               #
# DOI https://doi.org/10.1021/acs.jcim.2c01504                  #
#                                                               #
# Shidi, Tang, Chen Ruiqi, Lin Mengru, Lin Qingde,              #
# Zhu Yanxiang, Wu Jiansheng, Hu Haifeng, and Ling Ming.        #
# Accelerating AutoDock Vina with GPUs.                         #
# Molecules 27.9 (2022): 3041.                                  #
#                                                               #
# DOI https://doi.org/10.3390/molecules27093041                 #
#                                                               #
# And also the origin AutoDock Vina paper:                      #
# O. Trott, A. J. Olson,                                        #
# AutoDock Vina: improving the speed and accuracy of docking    #
# with a new scoring function, efficient optimization and       #
# multithreading, Journal of Computational Chemistry 31 (2010)  #
# 455-461                                                       #
#                                                               #
# DOI 10.1002/jcc.21334                                         #
#                                                               #
#################################################################

Using single ligand docking mode

Reading input ... done.
Using pocket rank: 1
Setting up the scoring function ... done.
Search_depth is fixed to 8
Analyzing the binding site ... done.
GPU Platform: NVIDIA CUDA
GPU Device: NVIDIA GeForce RTX 4090 D
Using random seed: 101

Build kernel 1 from source
OpenCL version: 3.0

Build kernel 2 from source
OpenCL version: 3.0


Perform docking|=======                              |
Perform docking|================done=================|

Refining ligand <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/pocketvina_gpu_subset/astex_diverse/1N46_PFA/subset200_nativebox_sdepth8_t1000_seed101/pocketvina_p results...done.
mode |   affinity | dist from best mode
     | (kcal/mol) | rmsd l.b.| rmsd u.b.
-----+------------+----------+----------
   1        -11.6      0.000      0.000
   2        -11.4      0.227      1.681
   3        -10.2      1.009      1.268
   4        -10.0      1.005      2.100
   5         -8.1      0.892      2.536
   6         -7.7      0.879      1.947
   7         -7.0      1.499      2.002
   8         -6.9      1.225      2.184
   9         -6.7      1.464      2.437
  10         -6.1      1.556      2.906
Writing ligand <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/pocketvina_gpu_subset/astex_diverse/1N46_PFA/subset200_nativebox_sdepth8_t1000_seed101/receptor-pocket1-pocketvina_poses.pdbqt output...
JSON file successfully saved to: <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/pocketvina_gpu_subset/astex_diverse/1N46_PFA/subset200_nativebox_sdepth8_t1000_seed101/receptor-pocket1-pocketvina_poses.json
done.

QuickVina 2-GPU3 total runtime = 13.413 s
","Failed to read file: /tmp/dep-2f09d1.d
Failed to read file: /tmp/dep-06cd6d.d
",results/posebench_702_predictions/vina_cpu_full/astex_diverse/1N46_PFA/receptor.pdbqt,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1N46_PFA/ligand_start.pdbqt,results/posebench_702_predictions/pocketvina_gpu_subset/astex_diverse/1N46_PFA/subset200_nativebox_sdepth8_t1000_seed101/receptor-pocket1-pocketvina_poses.pdbqt,20.783740740740743,6.68025925925926,2.9044074074074073,ok,10.0,-11.6,-11.6,4.667899472083935,4.603165134910897,False,False,27.0,"27,27,27,27,27,27,27,27,27,27",14.822
astex_diverse,1KE5_LS1,1ke5,PocketVina-GPU native-pocket subset,subset200_nativebox_sdepth8_t1000_seed101,PoseBench proportional stratified subset; native ligand center; fixed 24A box,8,1000,24.0,0.0,"23).          #
#                                                               #
# DOI https://doi.org/10.1021/acs.jcim.2c01504                  #
#                                                               #
# Shidi, Tang, Chen Ruiqi, Lin Mengru, Lin Qingde,              #
# Zhu Yanxiang, Wu Jiansheng, Hu Haifeng, and Ling Ming.        #
# Accelerating AutoDock Vina with GPUs.                         #
# Molecules 27.9 (2022): 3041.                                  #
#                                                               #
# DOI https://doi.org/10.3390/molecules27093041                 #
#                                                               #
# And also the origin AutoDock Vina paper:                      #
# O. Trott, A. J. Olson,                                        #
# AutoDock Vina: improving the speed and accuracy of docking    #
# with a new scoring function, efficient optimization and       #
# multithreading, Journal of Computational Chemistry 31 (2010)  #
# 455-461                                                       #
#                                                               #
# DOI 10.1002/jcc.21334                                         #
#                                                               #
#################################################################

Using single ligand docking mode

Reading input ... done.
Using pocket rank: 1
Setting up the scoring function ... done.
Search_depth is fixed to 8
Analyzing the binding site ... done.
GPU Platform: NVIDIA CUDA
GPU Device: NVIDIA GeForce RTX 4090 D
Using random seed: 101

Build kernel 1 from source
OpenCL version: 3.0

Build kernel 2 from source
OpenCL version: 3.0


Perform docking|=======                              |
Perform docking|================done=================|

Refining ligand <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/pocketvina_gpu_subset/astex_diverse/1KE5_LS1/subset200_nativebox_sdepth8_t1000_seed101/pocketvina_p results...done.
mode |   affinity | dist from best mode
     | (kcal/mol) | rmsd l.b.| rmsd u.b.
-----+------------+----------+----------
   1         -9.2      0.000      0.000
   2         -9.2      0.656      1.198
   3         -8.6      1.580      2.063
   4         -8.6      1.682      2.028
   5         -8.3      2.807      3.574
   6         -8.3      6.237      7.005
   7         -8.2      7.470      8.746
   8         -8.2      7.156      8.331
   9         -8.2      6.350      7.077
  10         -8.1      2.794      3.425
Writing ligand <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/pocketvina_gpu_subset/astex_diverse/1KE5_LS1/subset200_nativebox_sdepth8_t1000_seed101/receptor-pocket1-pocketvina_poses.pdbqt output...
JSON file successfully saved to: <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/pocketvina_gpu_subset/astex_diverse/1KE5_LS1/subset200_nativebox_sdepth8_t1000_seed101/receptor-pocket1-pocketvina_poses.json
done.

QuickVina 2-GPU3 total runtime = 13.354 s
","Failed to read file: /tmp/dep-acecb1.d
Failed to read file: /tmp/dep-09d410.d
",results/posebench_702_predictions/vina_cpu_full/astex_diverse/1KE5_LS1/receptor.pdbqt,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1KE5_LS1/ligand_start.pdbqt,results/posebench_702_predictions/pocketvina_gpu_subset/astex_diverse/1KE5_LS1/subset200_nativebox_sdepth8_t1000_seed101/receptor-pocket1-pocketvina_poses.pdbqt,-9.510434782608698,48.70352173913043,38.09178260869565,ok,10.0,-9.2,-9.2,5.807773707263618,5.668820435543428,False,False,23.0,"23,23,23,23,23,23,23,23,23,23",14.398
astex_diverse,1V48_HA1,1v48,PocketVina-GPU native-pocket subset,subset200_nativebox_sdepth8_t1000_seed101,PoseBench proportional stratified subset; native ligand center; fixed 24A box,8,1000,24.0,0.0,"23).          #
#                                                               #
# DOI https://doi.org/10.1021/acs.jcim.2c01504                  #
#                                                               #
# Shidi, Tang, Chen Ruiqi, Lin Mengru, Lin Qingde,              #
# Zhu Yanxiang, Wu Jiansheng, Hu Haifeng, and Ling Ming.        #
# Accelerating AutoDock Vina with GPUs.                         #
# Molecules 27.9 (2022): 3041.                                  #
#                                                               #
# DOI https://doi.org/10.3390/molecules27093041                 #
#                                                               #
# And also the origin AutoDock Vina paper:                      #
# O. Trott, A. J. Olson,                                        #
# AutoDock Vina: improving the speed and accuracy of docking    #
# with a new scoring function, efficient optimization and       #
# multithreading, Journal of Computational Chemistry 31 (2010)  #
# 455-461                                                       #
#                                                               #
# DOI 10.1002/jcc.21334                                         #
#                                                               #
#################################################################

Using single ligand docking mode

Reading input ... done.
Using pocket rank: 1
Setting up the scoring function ... done.
Search_depth is fixed to 8
Analyzing the binding site ... done.
GPU Platform: NVIDIA CUDA
GPU Device: NVIDIA GeForce RTX 4090 D
Using random seed: 101

Build kernel 1 from source
OpenCL version: 3.0

Build kernel 2 from source
OpenCL version: 3.0


Perform docking|=======                              |
Perform docking|================done=================|

Refining ligand <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/pocketvina_gpu_subset/astex_diverse/1V48_HA1/subset200_nativebox_sdepth8_t1000_seed101/pocketvina_p results...done.
mode |   affinity | dist from best mode
     | (kcal/mol) | rmsd l.b.| rmsd u.b.
-----+------------+----------+----------
   1         -7.9      0.000      0.000
   2         -6.7      6.000      9.432
   3         -6.6      3.106      4.615
   4         -6.5      5.985      9.772
   5         -6.4      3.982      6.821
   6         -6.3      2.715      3.574
   7         -6.3      4.327      6.010
   8         -6.3      2.422      3.404
   9         -6.3      6.296      9.803
  10         -6.1      4.194      6.620
Writing ligand <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/pocketvina_gpu_subset/astex_diverse/1V48_HA1/subset200_nativebox_sdepth8_t1000_seed101/receptor-pocket1-pocketvina_poses.pdbqt output...
JSON file successfully saved to: <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/pocketvina_gpu_subset/astex_diverse/1V48_HA1/subset200_nativebox_sdepth8_t1000_seed101/receptor-pocket1-pocketvina_poses.json
done.

QuickVina 2-GPU3 total runtime = 13.352 s
","Failed to read file: /tmp/dep-2e2c1b.d
Failed to read file: /tmp/dep-6315cb.d
",results/posebench_702_predictions/vina_cpu_full/astex_diverse/1V48_HA1/receptor.pdbqt,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1V48_HA1/ligand_start.pdbqt,results/posebench_702_predictions/pocketvina_gpu_subset/astex_diverse/1V48_HA1/subset200_nativebox_sdepth8_t1000_seed101/receptor-pocket1-pocketvina_poses.pdbqt,73.5792272727273,45.08404545454546,50.054545454545455,ok,10.0,-7.9,-7.9,3.2330605117639344,3.2330605117639344,False,False,22.0,"22,22,22,22,22,22,22,22,22,22",14.242
dockgen,6a71_1_9UX_0,6a71,PocketVina-GPU native-pocket subset,subset200_nativebox_sdepth8_t1000_seed101,PoseBench proportional stratified subset; native ligand center; fixed 24A box,8,1000,24.0,,,,,,,,,,missing_vina_receptor_pdbqt,,,,,,,,,,
dockgen,5u82_2_ZN0_0,5u82,PocketVina-GPU native-pocket subset,subset200_nativebox_sdepth8_t1000_seed101,PoseBench proportional stratified subset; native ligand center; fixed 24A box,8,1000,24.0,,,,,,,,,,missing_vina_receptor_pdbqt,,,,,,,,,,
dockgen,1sij_1_PCD_0,1sij,PocketVina-GPU native-pocket subset,subset200_nativebox_sdepth8_t1000_seed101,PoseBench proportional stratified subset; native ligand center; fixed 24A box,8,1000,24.0,,,,,,,,,,missing_vina_receptor_pdbqt,,,,,,,,,,
dockgen,5k66_1_ASN-GLU_0,5k66,PocketVina-GPU native-pocket subset,subset200_nativebox_sdepth8_t1000_seed101,PoseBench proportional stratified subset; native ligand center; fixed 24A box,8,1000,24.0,0.0,"        #
#                                                               #
# DOI https://doi.org/10.1021/acs.jcim.2c01504                  #
#                                                               #
# Shidi, Tang, Chen Ruiqi, Lin Mengru, Lin Qingde,              #
# Zhu Yanxiang, Wu Jiansheng, Hu Haifeng, and Ling Ming.        #
# Accelerating AutoDock Vina with GPUs.                         #
# Molecules 27.9 (2022): 3041.                                  #
#                                                               #
# DOI https://doi.org/10.3390/molecules27093041                 #
#                                                               #
# And also the origin AutoDock Vina paper:                      #
# O. Trott, A. J. Olson,                                        #
# AutoDock Vina: improving the speed and accuracy of docking    #
# with a new scoring function, efficient optimization and       #
# multithreading, Journal of Computational Chemistry 31 (2010)  #
# 455-461                                                       #
#                                                               #
# DOI 10.1002/jcc.21334                                         #
#                                                               #
#################################################################

Using single ligand docking mode

Reading input ... done.
Using pocket rank: 1
Setting up the scoring function ... done.
Search_depth is fixed to 8
Analyzing the binding site ... done.
GPU Platform: NVIDIA CUDA
GPU Device: NVIDIA GeForce RTX 4090 D
Using random seed: 101

Build kernel 1 from source
OpenCL version: 3.0

Build kernel 2 from source
OpenCL version: 3.0


Perform docking|=======                              |
Perform docking|================done=================|

Refining ligand <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/pocketvina_gpu_subset/dockgen/5k66_1_ASN-GLU_0/subset200_nativebox_sdepth8_t1000_seed101/pocketvina_p results...done.
mode |   affinity | dist from best mode
     | (kcal/mol) | rmsd l.b.| rmsd u.b.
-----+------------+----------+----------
   1         -5.7      0.000      0.000
   2         -5.3      2.138      2.613
   3         -5.3      2.429      6.973
   4         -5.3      0.825      1.119
   5         -5.2      2.967      6.821
   6         -5.2      1.920      2.244
   7         -5.1      4.694      6.022
   8         -5.1      1.772      1.970
   9         -5.1      8.337     10.137
  10         -5.1      2.515      6.592
Writing ligand <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/pocketvina_gpu_subset/dockgen/5k66_1_ASN-GLU_0/subset200_nativebox_sdepth8_t1000_seed101/receptor-pocket1-pocketvina_poses.pdbqt output...
JSON file successfully saved to: <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/pocketvina_gpu_subset/dockgen/5k66_1_ASN-GLU_0/subset200_nativebox_sdepth8_t1000_seed101/receptor-pocket1-pocketvina_poses.json
done.

QuickVina 2-GPU3 total runtime = 12.492 s
","Failed to read file: /tmp/dep-e8362c.d
Failed to read file: /tmp/dep-c53289.d
",results/posebench_702_predictions/vina_cpu_full/dockgen/5k66_1_ASN-GLU_0/receptor.pdbqt,results/posebench_702_predictions/vina_cpu_full/dockgen/5k66_1_ASN-GLU_0/ligand_start.pdbqt,results/posebench_702_predictions/pocketvina_gpu_subset/dockgen/5k66_1_ASN-GLU_0/subset200_nativebox_sdepth8_t1000_seed101/receptor-pocket1-pocketvina_poses.pdbqt,-1.8487058823529412,-24.909529411764705,24.722294117647056,ok,10.0,-5.7,-5.7,6.559970812345397,3.2441481343562377,False,False,17.0,"17,17,17,17,17,17,17,17,17,17",13.36
dockgen,5dnc_1_ASN_2,5dnc,PocketVina-GPU native-pocket subset,subset200_nativebox_sdepth8_t1000_seed101,PoseBench proportional stratified subset; native ligand center; fixed 24A box,8,1000,24.0,0.0,"ng (2023).          #
#                                                               #
# DOI https://doi.org/10.1021/acs.jcim.2c01504                  #
#                                                               #
# Shidi, Tang, Chen Ruiqi, Lin Mengru, Lin Qingde,              #
# Zhu Yanxiang, Wu Jiansheng, Hu Haifeng, and Ling Ming.        #
# Accelerating AutoDock Vina with GPUs.                         #
# Molecules 27.9 (2022): 3041.                                  #
#                                                               #
# DOI https://doi.org/10.3390/molecules27093041                 #
#                                                               #
# And also the origin AutoDock Vina paper:                      #
# O. Trott, A. J. Olson,                                        #
# AutoDock Vina: improving the speed and accuracy of docking    #
# with a new scoring function, efficient optimization and       #
# multithreading, Journal of Computational Chemistry 31 (2010)  #
# 455-461                                                       #
#                                                               #
# DOI 10.1002/jcc.21334                                         #
#                                                               #
#################################################################

Using single ligand docking mode

Reading input ... done.
Using pocket rank: 1
Setting up the scoring function ... done.
Search_depth is fixed to 8
Analyzing the binding site ... done.
GPU Platform: NVIDIA CUDA
GPU Device: NVIDIA GeForce RTX 4090 D
Using random seed: 101

Build kernel 1 from source
OpenCL version: 3.0

Build kernel 2 from source
OpenCL version: 3.0


Perform docking|=======                              |
Perform docking|================done=================|

Refining ligand <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/pocketvina_gpu_subset/dockgen/5dnc_1_ASN_2/subset200_nativebox_sdepth8_t1000_seed101/pocketvina_p results...done.
mode |   affinity | dist from best mode
     | (kcal/mol) | rmsd l.b.| rmsd u.b.
-----+------------+----------+----------
   1         -5.6      0.000      0.000
   2         -5.5      0.115      1.029
   3         -5.5      1.313      1.659
   4         -5.5      1.014      1.434
   5         -5.3      1.870      3.797
   6         -5.3      1.572      1.572
   7         -5.3      1.611      3.943
   8         -5.3      1.728      4.008
   9         -5.3      1.672      3.853
  10         -5.2      1.761      4.171
Writing ligand <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/pocketvina_gpu_subset/dockgen/5dnc_1_ASN_2/subset200_nativebox_sdepth8_t1000_seed101/receptor-pocket1-pocketvina_poses.pdbqt output...
JSON file successfully saved to: <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/pocketvina_gpu_subset/dockgen/5dnc_1_ASN_2/subset200_nativebox_sdepth8_t1000_seed101/receptor-pocket1-pocketvina_poses.json
done.

QuickVina 2-GPU3 total runtime = 13.151 s
","Failed to read file: /tmp/dep-8d1a84.d
Failed to read file: /tmp/dep-7adf8f.d
",results/posebench_702_predictions/vina_cpu_full/dockgen/5dnc_1_ASN_2/receptor.pdbqt,results/posebench_702_predictions/vina_cpu_full/dockgen/5dnc_1_ASN_2/ligand_start.pdbqt,results/posebench_702_predictions/pocketvina_gpu_subset/dockgen/5dnc_1_ASN_2/subset200_nativebox_sdepth8_t1000_seed101/receptor-pocket1-pocketvina_poses.pdbqt,20.47511111111111,36.19722222222222,59.96966666666666,ok,10.0,-5.6,-5.6,3.1164919024085034,3.1164919024085034,False,False,9.0,"9,9,9,9,9,9,9,9,9,9",14.12
dockgen,1tkg_1_SSA_0,1tkg,PocketVina-GPU native-pocket subset,subset200_nativebox_sdepth8_t1000_seed101,PoseBench proportional stratified subset; native ligand center; fixed 24A box,8,1000,24.0,0.0,"ng (2023).          #
#                                                               #
# DOI https://doi.org/10.1021/acs.jcim.2c01504                  #
#                                                               #
# Shidi, Tang, Chen Ruiqi, Lin Mengru, Lin Qingde,              #
# Zhu Yanxiang, Wu Jiansheng, Hu Haifeng, and Ling Ming.        #
# Accelerating AutoDock Vina with GPUs.                         #
# Molecules 27.9 (2022): 3041.                                  #
#                                                               #
# DOI https://doi.org/10.3390/molecules27093041                 #
#                                                               #
# And also the origin AutoDock Vina paper:                      #
# O. Trott, A. J. Olson,                                        #
# AutoDock Vina: improving the speed and accuracy of docking    #
# with a new scoring function, efficient optimization and       #
# multithreading, Journal of Computational Chemistry 31 (2010)  #
# 455-461                                                       #
#                                                               #
# DOI 10.1002/jcc.21334                                         #
#                                                               #
#################################################################

Using single ligand docking mode

Reading input ... done.
Using pocket rank: 1
Setting up the scoring function ... done.
Search_depth is fixed to 8
Analyzing the binding site ... done.
GPU Platform: NVIDIA CUDA
GPU Device: NVIDIA GeForce RTX 4090 D
Using random seed: 101

Build kernel 1 from source
OpenCL version: 3.0

Build kernel 2 from source
OpenCL version: 3.0


Perform docking|=======                              |
Perform docking|================done=================|

Refining ligand <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/pocketvina_gpu_subset/dockgen/1tkg_1_SSA_0/subset200_nativebox_sdepth8_t1000_seed101/pocketvina_p results...done.
mode |   affinity | dist from best mode
     | (kcal/mol) | rmsd l.b.| rmsd u.b.
-----+------------+----------+----------
   1         -6.5      0.000      0.000
   2         -6.2      2.103      3.252
   3         -6.1      2.429      4.088
   4         -6.0      1.996      3.851
   5         -6.0      4.419      6.898
   6         -5.9      8.180      9.916
   7         -5.7      4.947      7.802
   8         -5.7      3.525      8.336
   9         -5.6      3.487      8.284
  10         -5.6      4.502      7.818
Writing ligand <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/pocketvina_gpu_subset/dockgen/1tkg_1_SSA_0/subset200_nativebox_sdepth8_t1000_seed101/receptor-pocket1-pocketvina_poses.pdbqt output...
JSON file successfully saved to: <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/pocketvina_gpu_subset/dockgen/1tkg_1_SSA_0/subset200_nativebox_sdepth8_t1000_seed101/receptor-pocket1-pocketvina_poses.json
done.

QuickVina 2-GPU3 total runtime = 13.726 s
","Failed to read file: /tmp/dep-88899d.d
Failed to read file: /tmp/dep-ab6340.d
",results/posebench_702_predictions/vina_cpu_full/dockgen/1tkg_1_SSA_0/receptor.pdbqt,results/posebench_702_predictions/vina_cpu_full/dockgen/1tkg_1_SSA_0/ligand_start.pdbqt,results/posebench_702_predictions/pocketvina_gpu_subset/dockgen/1tkg_1_SSA_0/subset200_nativebox_sdepth8_t1000_seed101/receptor-pocket1-pocketvina_poses.pdbqt,-7.743689655172415,0.5602413793103446,19.626413793103445,ok,10.0,-6.5,-6.5,7.424185440051714,2.988878927186464,False,False,29.0,"29,29,29,29,29,29,29,29,29,29",14.157
dockgen,6uqy_2_AT3_0,6uqy,PocketVina-GPU native-pocket subset,subset200_nativebox_sdepth8_t1000_seed101,PoseBench proportional stratified subset; native ligand center; fixed 24A box,8,1000,24.0,0.0,"ng (2023).          #
#                                                               #
# DOI https://doi.org/10.1021/acs.jcim.2c01504                  #
#                                                               #
# Shidi, Tang, Chen Ruiqi, Lin Mengru, Lin Qingde,              #
# Zhu Yanxiang, Wu Jiansheng, Hu Haifeng, and Ling Ming.        #
# Accelerating AutoDock Vina with GPUs.                         #
# Molecules 27.9 (2022): 3041.                                  #
#                                                               #
# DOI https://doi.org/10.3390/molecules27093041                 #
#                                                               #
# And also the origin AutoDock Vina paper:                      #
# O. Trott, A. J. Olson,                                        #
# AutoDock Vina: improving the speed and accuracy of docking    #
# with a new scoring function, efficient optimization and       #
# multithreading, Journal of Computational Chemistry 31 (2010)  #
# 455-461                                                       #
#                                                               #
# DOI 10.1002/jcc.21334                                         #
#                                                               #
#################################################################

Using single ligand docking mode

Reading input ... done.
Using pocket rank: 1
Setting up the scoring function ... done.
Search_depth is fixed to 8
Analyzing the binding site ... done.
GPU Platform: NVIDIA CUDA
GPU Device: NVIDIA GeForce RTX 4090 D
Using random seed: 101

Build kernel 1 from source
OpenCL version: 3.0

Build kernel 2 from source
OpenCL version: 3.0


Perform docking|=======                              |
Perform docking|================done=================|

Refining ligand <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/pocketvina_gpu_subset/dockgen/6uqy_2_AT3_0/subset200_nativebox_sdepth8_t1000_seed101/pocketvina_p results...done.
mode |   affinity | dist from best mode
     | (kcal/mol) | rmsd l.b.| rmsd u.b.
-----+------------+----------+----------
   1         -4.1      0.000      0.000
   2         -4.1      1.697      2.250
   3         -4.1      1.228      1.428
   4         -4.0      1.983      2.670
   5         -4.0      1.400      1.727
   6         -4.0      3.569      5.146
   7         -3.9     13.701     14.702
   8         -3.9      3.269      5.062
   9         -3.9      3.846      5.142
  10         -3.9      1.398      1.937
Writing ligand <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/pocketvina_gpu_subset/dockgen/6uqy_2_AT3_0/subset200_nativebox_sdepth8_t1000_seed101/receptor-pocket1-pocketvina_poses.pdbqt output...
JSON file successfully saved to: <REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/pocketvina_gpu_subset/dockgen/6uqy_2_AT3_0/subset200_nativebox_sdepth8_t1000_seed101/receptor-pocket1-pocketvina_poses.json
done.

QuickVina 2-GPU3 total runtime = 13.069 s
","Failed to read file: /tmp/dep-8fe63d.d
Failed to read file: /tmp/dep-ea1b7d.d
",results/posebench_702_predictions/vina_cpu_full/dockgen/6uqy_2_AT3_0/receptor.pdbqt,results/posebench_702_predictions/vina_cpu_full/dockgen/6uqy_2_AT3_0/ligand_start.pdbqt,results/posebench_702_predictions/pocketvina_gpu_subset/dockgen/6uqy_2_AT3_0/subset200_nativebox_sdepth8_t1000_seed101/receptor-pocket1-pocketvina_poses.pdbqt,-20.6736,3.1619,44.2883,ok,10.0,-4.1,-4.1,4.762377956441509,3.7306451184748197,False,False,10.0,"10,10,10,10,10,10,10,10,10,10",14.114
