relative_path,size_bytes,sha256
data/source_tables/final_closure_audits/feature_block_contribution.csv,1020,5e2e4f1943e33fbfb007cfc1fe0dffef9c7184c37e7e46956b98b1c3f195ffff
data/source_tables/final_closure_audits/feature_block_contribution.md,1196,10734803b22791b900cb0f0f2dd457b61983cb6be3ef86835629efb8f6c405cf
data/source_tables/final_closure_audits/latest_baseline_coverage_audit.csv,2299,7f0f8988e3f26023ead33afca6e3f14aa9ca2288597dbe853ec93b0239014b79
data/source_tables/final_closure_audits/latest_baseline_coverage_audit.md,2439,f8216f6e96cb04be8b562b8fa9c7f399e76757547be6393535bad7621d3172e4
data/source_tables/final_closure_audits/statistical_protocol_closure.csv,893,8b8ae16f72479f6c659ee151a7989b04d973195c73e32111ed12c3aedff08ab5
data/source_tables/final_closure_audits/statistical_protocol_closure.md,969,719a9d0fb8c48c258fc1ad341f0ed23212caf1e80a34b3b3afd6d6d8c56cb782
data/source_tables/final_closure_audits/theory_closure_checklist.csv,846,3bb264d5116b14a192aba664e3d5dc6fb85d7b70463742721ea285c81595ff16
data/source_tables/final_closure_audits/theory_closure_checklist.md,922,a724a2625a279f6d9c1d43efc0c44afb3c31c8ad85e19f1400dfb592762f72b1
data/source_tables/final_closure_audits/top_feature_importance.csv,605,e31078e426a612f58074d83e854352c5dcbca171d8ff6ebcd4786a76f5c9087f
data/source_tables/final_closure_audits/top_feature_importance.md,761,020a475c4b6936ccdce02270feae20c37b77da59a13fa30918ef11fbad34f828
