dataset,mol_id,failure_class,gpu,pid,source_tag,target_tag,log_path,command,start_time,status,exit_code,elapsed_sec
astex_diverse,1HVY_D16,cuda_oom,0,701646,default_s5_t200,default_s5_t200,logs/chai_retry_default_s5_t200_cuda_oom_astex_diverse_1HVY_D16.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1HVY_D16 --gpu 0 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1 --overwrite,1779118840.590636,finished,0,60.064
astex_diverse,1HWI_115,cuda_oom,1,701647,default_s5_t200,default_s5_t200,logs/chai_retry_default_s5_t200_cuda_oom_astex_diverse_1HWI_115.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1HWI_115 --gpu 1 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1 --overwrite,1779118840.591895,finished,0,70.077
astex_diverse,1HWW_SWA,cuda_oom,2,701648,default_s5_t200,default_s5_t200,logs/chai_retry_default_s5_t200_cuda_oom_astex_diverse_1HWW_SWA.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1HWW_SWA --gpu 2 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1 --overwrite,1779118840.5934515,finished,0,60.062
astex_diverse,1J3J_CP6,cuda_oom,3,701649,default_s5_t200,default_s5_t200,logs/chai_retry_default_s5_t200_cuda_oom_astex_diverse_1J3J_CP6.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1J3J_CP6 --gpu 3 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1 --overwrite,1779118840.5946753,finished,0,70.075
astex_diverse,1N1M_A3M,cuda_oom,0,704767,default_s5_t200,default_s5_t200,logs/chai_retry_default_s5_t200_cuda_oom_astex_diverse_1N1M_A3M.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1N1M_A3M --gpu 0 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1 --overwrite,1779118900.6574678,finished,0,60.068
astex_diverse,1Q1G_MTI,cuda_oom,2,704768,default_s5_t200,default_s5_t200,logs/chai_retry_default_s5_t200_cuda_oom_astex_diverse_1Q1G_MTI.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1Q1G_MTI --gpu 2 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1 --overwrite,1779118900.659359,finished,0,50.054
astex_diverse,1Q4G_BFL,cuda_oom,1,706203,default_s5_t200,default_s5_t200,logs/chai_retry_default_s5_t200_cuda_oom_astex_diverse_1Q4G_BFL.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1Q4G_BFL --gpu 1 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1 --overwrite,1779118910.6713872,finished,0,50.054
astex_diverse,1SQ5_PAU,cuda_oom,3,706204,default_s5_t200,default_s5_t200,logs/chai_retry_default_s5_t200_cuda_oom_astex_diverse_1SQ5_PAU.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1SQ5_PAU --gpu 3 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1 --overwrite,1779118910.6729932,finished,0,60.067
astex_diverse,1T9B_1CS,cuda_oom,2,707902,default_s5_t200,default_s5_t200,logs/chai_retry_default_s5_t200_cuda_oom_astex_diverse_1T9B_1CS.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1T9B_1CS --gpu 2 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1 --overwrite,1779118950.715421,finished,0,60.067
astex_diverse,1U1C_BAU,cuda_oom,0,708629,default_s5_t200,default_s5_t200,logs/chai_retry_default_s5_t200_cuda_oom_astex_diverse_1U1C_BAU.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1U1C_BAU --gpu 0 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1 --overwrite,1779118960.7278981,finished,0,70.08
