dataset,gpu,ligand_file,method,mol_id,n_predictions,oracle_confidence,oracle_prediction_sdf,oracle_rank,oracle_rmsd,oracle_success_2a,output_dir,protein_pdb,returncode,runtime_sec,samples,status,steps,tag,top_confidence,top_prediction_sdf,top_rank,top_rmsd,top_success_2a,status_json,stderr_tail,stdout_tail,vina_status,vina_top_rmsd,vina_oracle_rmsd,vina_top_success_2a,vina_oracle_success_2a
astex_diverse,4,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_ligand.sdf,diffdock_l_gpu,1G9V_RQ3,10,-1.4,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1G9V_RQ3/default_s10_t20/predictions/1G9V_RQ3/rank1_confidence-1.40.sdf,1.0,30.801868263590766,False,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1G9V_RQ3/default_s10_t20,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_protein.pdb,0,43.858,10,ok,20,default_s10_t20,-1.4,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1G9V_RQ3/default_s10_t20/predictions/1G9V_RQ3/rank1_confidence-1.40.sdf,1.0,30.801868263590766,False,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1G9V_RQ3/default_s10_t20/run_status.json,,,ok,5.6613191642937775,3.9313601513979854,False,False
astex_diverse,0,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_ligand.sdf,diffdock_l_gpu,1GKC_NFH,10,-0.26,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GKC_NFH/default_s10_t20/predictions/1GKC_NFH/rank9_confidence-0.26.sdf,9.0,0.4358964509021502,True,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GKC_NFH/default_s10_t20,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_protein.pdb,0,43.333,10,ok,20,default_s10_t20,-0.04,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GKC_NFH/default_s10_t20/predictions/1GKC_NFH/rank1_confidence-0.04.sdf,1.0,39.089495913648996,False,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GKC_NFH/default_s10_t20/run_status.json,,,ok,5.585912141677978,4.518005075654116,False,False
astex_diverse,4,external/PoseBench/data/astex_diverse_set/1GM8_SOX/1GM8_SOX_ligand.sdf,diffdock_l_gpu,1GM8_SOX,10,0.03,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GM8_SOX/default_s10_t20/predictions/1GM8_SOX/rank1_confidence0.03.sdf,1.0,2.7943372152444304,False,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GM8_SOX/default_s10_t20,external/PoseBench/data/astex_diverse_set/1GM8_SOX/1GM8_SOX_protein.pdb,0,54.101,10,ok,20,default_s10_t20,0.03,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GM8_SOX/default_s10_t20/predictions/1GM8_SOX/rank1_confidence0.03.sdf,1.0,2.7943372152444304,False,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GM8_SOX/default_s10_t20/run_status.json,,,ok,5.238780507745417,5.238780507745417,False,False
astex_diverse,0,external/PoseBench/data/astex_diverse_set/1GPK_HUP/1GPK_HUP_ligand.sdf,diffdock_l_gpu,1GPK_HUP,10,0.61,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GPK_HUP/default_s10_t20/predictions/1GPK_HUP/rank3_confidence0.61.sdf,3.0,0.3985801445966245,True,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GPK_HUP/default_s10_t20,external/PoseBench/data/astex_diverse_set/1GPK_HUP/1GPK_HUP_protein.pdb,0,46.159,10,ok,20,default_s10_t20,0.63,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GPK_HUP/default_s10_t20/predictions/1GPK_HUP/rank1_confidence0.63.sdf,1.0,0.36939985787761204,True,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GPK_HUP/default_s10_t20/run_status.json,,,ok,3.509007892394786,2.1363195115795666,False,False
astex_diverse,4,external/PoseBench/data/astex_diverse_set/1HNN_SKF/1HNN_SKF_ligand.sdf,diffdock_l_gpu,1HNN_SKF,10,0.29,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HNN_SKF/default_s10_t20/predictions/1HNN_SKF/rank7_confidence0.29.sdf,7.0,0.5435762142646462,True,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HNN_SKF/default_s10_t20,external/PoseBench/data/astex_diverse_set/1HNN_SKF/1HNN_SKF_protein.pdb,0,46.726,10,ok,20,default_s10_t20,0.37,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HNN_SKF/default_s10_t20/predictions/1HNN_SKF/rank1_confidence0.37.sdf,1.0,0.4611847886538691,True,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HNN_SKF/default_s10_t20/run_status.json,,,ok,3.888645283753345,3.86874339140908,False,False
astex_diverse,0,external/PoseBench/data/astex_diverse_set/1HP0_AD3/1HP0_AD3_ligand.sdf,diffdock_l_gpu,1HP0_AD3,10,-0.03,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HP0_AD3/default_s10_t20/predictions/1HP0_AD3/rank7_confidence-0.03.sdf,7.0,27.806360490040856,False,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HP0_AD3/default_s10_t20,external/PoseBench/data/astex_diverse_set/1HP0_AD3/1HP0_AD3_protein.pdb,0,51.315,10,ok,20,default_s10_t20,0.06,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HP0_AD3/default_s10_t20/predictions/1HP0_AD3/rank1_confidence0.06.sdf,1.0,27.720858248865316,False,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HP0_AD3/default_s10_t20/run_status.json,,,ok,2.8297886846900773,2.5381793827362498,False,False
astex_diverse,4,external/PoseBench/data/astex_diverse_set/1HQ2_PH2/1HQ2_PH2_ligand.sdf,diffdock_l_gpu,1HQ2_PH2,10,0.31,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HQ2_PH2/default_s10_t20/predictions/1HQ2_PH2/rank5_confidence0.31.sdf,5.0,0.33010995462551135,True,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HQ2_PH2/default_s10_t20,external/PoseBench/data/astex_diverse_set/1HQ2_PH2/1HQ2_PH2_protein.pdb,0,34.3,10,ok,20,default_s10_t20,0.33,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HQ2_PH2/default_s10_t20/predictions/1HQ2_PH2/rank1_confidence0.33.sdf,1.0,0.34448093042804473,True,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HQ2_PH2/default_s10_t20/run_status.json,,,ok,2.784330170795123,2.784330170795123,False,False
astex_diverse,0,external/PoseBench/data/astex_diverse_set/1HVY_D16/1HVY_D16_ligand.sdf,diffdock_l_gpu,1HVY_D16,10,-1.0,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HVY_D16/default_s10_t20/predictions/1HVY_D16/rank3_confidence-1.00.sdf,3.0,0.512435223040433,True,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HVY_D16/default_s10_t20,external/PoseBench/data/astex_diverse_set/1HVY_D16/1HVY_D16_protein.pdb,0,51.072,10,ok,20,default_s10_t20,-0.73,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HVY_D16/default_s10_t20/predictions/1HVY_D16/rank1_confidence-0.73.sdf,1.0,43.54250125994357,False,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HVY_D16/default_s10_t20/run_status.json,,,ok,9.213708080558554,6.4624853602348695,False,False
astex_diverse,4,external/PoseBench/data/astex_diverse_set/1HWI_115/1HWI_115_ligand.sdf,diffdock_l_gpu,1HWI_115,10,-0.05,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HWI_115/default_s10_t20/predictions/1HWI_115/rank2_confidence-0.05.sdf,2.0,41.66232841924064,False,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HWI_115/default_s10_t20,external/PoseBench/data/astex_diverse_set/1HWI_115/1HWI_115_protein.pdb,0,62.921,10,ok,20,default_s10_t20,-0.02,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HWI_115/default_s10_t20/predictions/1HWI_115/rank1_confidence-0.02.sdf,1.0,0.47662374993279566,True,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HWI_115/default_s10_t20/run_status.json,,,ok,5.813570543707771,5.813570543707771,False,False
astex_diverse,0,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_ligand.sdf,diffdock_l_gpu,1HWW_SWA,10,-0.05,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HWW_SWA/default_s10_t20/predictions/1HWW_SWA/rank2_confidence-0.05.sdf,2.0,0.5988248450089567,True,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HWW_SWA/default_s10_t20,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_protein.pdb,0,43.613,10,ok,20,default_s10_t20,-0.05,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HWW_SWA/default_s10_t20/predictions/1HWW_SWA/rank1_confidence-0.05.sdf,1.0,0.5837904011715176,True,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1HWW_SWA/default_s10_t20/run_status.json,,,ok,3.522495020105303,3.522495020105303,False,False
