dataset,mol_id,tag,status,metric_status,score_ranked_prediction_cif,score_ranked_model_idx,score_ranked_symmetry_pocket_rmsd,score_ranked_symmetry_method,score_ranked_score_npz,score_ranked_chai_aggregate_score,score_ranked_chai_ptm,score_ranked_chai_iptm,score_ranked_chai_has_inter_chain_clashes,score_ranked_pocket_cutoff_a,score_ranked_pred_ligand_heavy_atoms,score_ranked_native_ligand_heavy_atoms,score_ranked_pocket_matched_ca,score_ranked_pocket_matched_residues_preview,score_ranked_pocket_ca_rmsd_after_fit,score_ranked_symmetry_success_2a,oracle_best_symmetry_pocket_rmsd,oracle_best_symmetry_success_2a,oracle_best_model_idx,n_samples_eval,exception_type,prediction_cif,model_idx,symmetry_pocket_rmsd,symmetry_method,score_npz,chai_aggregate_score,chai_ptm,chai_iptm,chai_has_inter_chain_clashes,pocket_cutoff_a,pred_ligand_heavy_atoms,native_ligand_heavy_atoms,pocket_matched_ca,pocket_matched_residues_preview,pocket_ca_rmsd_after_fit
astex_diverse,1G9V_RQ3,default_s5_t200,ok,ok,results/posebench_702_predictions/chai1_gpu/astex_diverse/1G9V_RQ3/default_s5_t200/predictions/pred.model_idx_1.cif,1.0,20.67941117834642,canonical_symmetry_classes:exact=19;greedy=0;direct=0,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1G9V_RQ3/default_s5_t200/predictions/scores.model_idx_1.npz,0.830540657043457,0.8695392608642578,0.8207909464836121,False,10.0,25.0,25.0,77.0,"B:107:3.22,C:140:3.25,A:98:3.28,A:99:3.58,C:94:3.63,B:34:3.65,C:136:3.66,B:36:3.77,A:35:3.79,A:102:3.84,A:95:4.21,A:125:4.23",12.69469823191785,False,20.125018977686334,False,3.0,5.0,,,,,,,,,,,,,,,,
astex_diverse,1GKC_NFH,default_s5_t200,ok,ok,results/posebench_702_predictions/chai1_gpu/astex_diverse/1GKC_NFH/default_s5_t200/predictions/pred.model_idx_1.cif,1.0,10.629732977997692,canonical_symmetry_classes:exact=19;greedy=0;direct=0,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GKC_NFH/default_s5_t200/predictions/scores.model_idx_1.npz,0.5476072430610657,0.5961604118347168,0.5354689359664917,False,10.0,22.0,22.0,52.0,"A:117:2.73,A:78:2.79,A:138:2.89,A:76:2.90,A:126:2.90,A:120:3.00,A:79:3.36,A:136:3.42,A:137:3.49,A:108:3.51,A:77:3.51,A:116:3.56",0.44615363380031314,False,0.46312237926902194,True,2.0,5.0,,,,,,,,,,,,,,,,
astex_diverse,1GM8_SOX,default_s5_t200,ok,ok,results/posebench_702_predictions/chai1_gpu/astex_diverse/1GM8_SOX/default_s5_t200/predictions/pred.model_idx_2.cif,2.0,2.995043043065083,canonical_symmetry_classes:exact=21;greedy=0;direct=0,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GM8_SOX/default_s5_t200/predictions/scores.model_idx_2.npz,0.8903131484985352,0.9104436039924622,0.8852804899215698,False,10.0,24.0,24.0,76.0,"B:0:2.53,B:68:3.15,B:70:3.15,A:143:3.17,B:22:3.28,B:23:3.28,A:146:3.41,A:139:3.67,B:176:3.72,B:67:3.78,B:66:3.94,B:21:4.06",1.1981579256682793,False,2.316545602343,False,3.0,5.0,,,,,,,,,,,,,,,,
astex_diverse,1GPK_HUP,default_s5_t200,ok,ok,results/posebench_702_predictions/chai1_gpu/astex_diverse/1GPK_HUP/default_s5_t200/predictions/pred.model_idx_1.cif,1.0,4.5069043679441165,canonical_symmetry_classes:exact=18;greedy=0;direct=0,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1GPK_HUP/default_s5_t200/predictions/scores.model_idx_1.npz,0.5582212209701538,0.9619778394699097,0.45728206634521484,False,10.0,18.0,18.0,75.0,"A:126:2.62,A:117:3.27,A:118:3.33,A:113:3.44,A:119:3.46,A:114:3.47,A:115:3.51,A:195:3.53,A:80:3.53,A:436:3.53,A:123:3.69,A:112:3.70",0.24843511820997902,False,1.9604652460963068,True,3.0,5.0,,,,,,,,,,,,,,,,
astex_diverse,1HNN_SKF,default_s5_t200,ok,ok,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HNN_SKF/default_s5_t200/predictions/pred.model_idx_2.cif,2.0,45.7275376688583,canonical_symmetry_classes:exact=13;greedy=0;direct=0,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HNN_SKF/default_s5_t200/predictions/scores.model_idx_2.npz,0.7169321179389954,0.7526015639305115,0.708014726638794,False,10.0,14.0,14.0,72.0,"A:35:2.57,A:197:2.82,A:22:2.94,A:17:3.21,A:245:3.29,A:236:3.32,A:31:3.32,A:13:3.35,A:18:3.35,A:160:3.47,A:247:3.75,A:200:3.86",0.2772982610252961,False,44.956156515457415,False,0.0,5.0,,,,,,,,,,,,,,,,
astex_diverse,1HP0_AD3,default_s5_t200,ok,ok,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HP0_AD3/default_s5_t200/predictions/pred.model_idx_1.cif,1.0,26.075757409924236,canonical_symmetry_classes:exact=19;greedy=0;direct=0,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HP0_AD3/default_s5_t200/predictions/scores.model_idx_1.npz,0.8246585130691528,0.902713418006897,0.805144727230072,False,10.0,19.0,19.0,72.0,"A:252:2.54,A:183:2.55,A:13:2.59,A:136:2.84,A:39:2.87,A:185:3.08,A:172:3.14,A:82:3.18,A:14:3.26,A:248:3.52,A:163:3.58,A:11:3.64",0.714609335969211,False,25.961859678731855,False,3.0,5.0,,,,,,,,,,,,,,,,
astex_diverse,1HQ2_PH2,default_s5_t200,ok,ok,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HQ2_PH2/default_s5_t200/predictions/pred.model_idx_0.cif,0.0,0.9256224610163614,canonical_symmetry_classes:exact=14;greedy=0;direct=0,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HQ2_PH2/default_s5_t200/predictions/scores.model_idx_0.npz,0.9077671766281128,0.947371244430542,0.8978660702705383,False,10.0,14.0,14.0,52.0,"A:42:2.79,A:54:2.82,A:41:2.84,A:44:2.86,A:94:2.87,A:122:3.19,A:52:3.32,A:88:3.67,A:43:3.78,A:96:4.14,A:7:4.19,A:120:4.55",0.7660923764316623,True,0.8626285097428502,True,1.0,5.0,,,,,,,,,,,,,,,,
astex_diverse,1HVY_D16,default_s5_t200,exception,not_ok,,,,,,,,,,,,,,,,,,,,,RuntimeError,,,,,,,,,,,,,,,
astex_diverse,1HWI_115,default_s5_t200,exception,not_ok,,,,,,,,,,,,,,,,,,,,,RuntimeError,,,,,,,,,,,,,,,
astex_diverse,1HWW_SWA,default_s5_t200,exception,not_ok,,,,,,,,,,,,,,,,,,,,,RuntimeError,,,,,,,,,,,,,,,
astex_diverse,1IA1_TQ3,default_s5_t200,ok,ok,results/posebench_702_predictions/chai1_gpu/astex_diverse/1IA1_TQ3/default_s5_t200/predictions/pred.model_idx_0.cif,0.0,0.7365711135925659,canonical_symmetry_classes:exact=17;greedy=0;direct=0,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1IA1_TQ3/default_s5_t200/predictions/scores.model_idx_0.npz,0.4360693693161011,0.5631752610206604,0.40429291129112244,False,10.0,19.0,19.0,66.0,"B:31:2.60,B:8:3.04,B:111:3.08,B:117:3.43,B:35:3.44,B:9:3.49,B:60:3.50,B:61:3.57,B:24:3.64,B:10:3.71,B:132:3.71,B:57:3.76",0.4937475710374115,True,0.4138133197950908,True,4.0,5.0,,,,,,,,,,,,,,,,
astex_diverse,1IG3_VIB,default_s5_t200,ok,ok,results/posebench_702_predictions/chai1_gpu/astex_diverse/1IG3_VIB/default_s5_t200/predictions/pred.model_idx_1.cif,1.0,0.5021367630586809,canonical_symmetry_classes:exact=18;greedy=0;direct=0,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1IG3_VIB/default_s5_t200/predictions/scores.model_idx_1.npz,0.919014573097229,0.9360268115997314,0.914761483669281,False,10.0,18.0,18.0,56.0,"B:215:2.70,A:107:2.98,A:106:3.15,B:216:3.15,B:218:3.37,B:201:3.38,B:217:3.49,A:108:3.84,A:109:3.98,B:203:4.00,B:213:4.02,A:110:4.44",0.5956166465984266,True,0.40631290151502314,True,3.0,5.0,,,,,,,,,,,,,,,,
astex_diverse,1J3J_CP6,default_s5_t200,exception,not_ok,,,,,,,,,,,,,,,,,,,,,RuntimeError,,,,,,,,,,,,,,,
astex_diverse,1JD0_AZM,default_s5_t200,ok,ok,results/posebench_702_predictions/chai1_gpu/astex_diverse/1JD0_AZM/default_s5_t200/predictions/pred.model_idx_4.cif,4.0,1.1074957599014073,canonical_symmetry_classes:exact=12;greedy=0;direct=0,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1JD0_AZM/default_s5_t200/predictions/scores.model_idx_4.npz,0.5329629778862,0.6055224537849426,0.5148230791091919,False,10.0,13.0,13.0,67.0,"B:194:2.80,B:195:2.80,B:87:3.25,B:193:3.34,B:89:3.40,B:113:3.41,B:85:3.49,B:204:3.58,B:115:3.61,B:100:3.95,B:137:3.98,B:192:4.21",0.18775688312984515,True,0.9902580074515657,True,3.0,5.0,,,,,,,,,,,,,,,,
astex_diverse,1JJE_BYS,default_s5_t200,ok,ok,results/posebench_702_predictions/chai1_gpu/astex_diverse/1JJE_BYS/default_s5_t200/predictions/pred.model_idx_1.cif,1.0,20.913313830156927,canonical_symmetry_classes:exact=23;greedy=0;direct=0,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1JJE_BYS/default_s5_t200/predictions/scores.model_idx_1.npz,0.4918665289878845,0.6448578834533691,0.4536186754703522,False,10.0,25.0,25.0,59.0,"A:158:2.73,A:164:2.83,A:194:2.85,A:78:2.98,A:136:2.99,A:76:3.06,A:163:3.33,A:155:3.46,A:77:3.56,A:74:3.59,A:25:3.60,A:22:3.77",0.3804488190565535,False,19.12659811295966,False,3.0,5.0,,,,,,,,,,,,,,,,
astex_diverse,1JLA_TNK,default_s5_t200,ok,ok,results/posebench_702_predictions/chai1_gpu/astex_diverse/1JLA_TNK/default_s5_t200/predictions/pred.model_idx_1.cif,1.0,70.34626438713384,canonical_symmetry_classes:exact=22;greedy=0;direct=0,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1JLA_TNK/default_s5_t200/predictions/scores.model_idx_1.npz,0.6443558931350708,0.6770537495613098,0.6361813545227051,False,10.0,27.0,27.0,65.0,"A:96:2.70,A:174:3.23,A:98:3.30,A:183:3.32,A:181:3.34,A:101:3.46,A:222:3.52,A:310:3.59,A:229:3.61,A:182:3.71,A:220:3.71,A:95:3.77",1.638667688511019,False,44.23197825233249,False,3.0,5.0,,,,,,,,,,,,,,,,
astex_diverse,1K3U_IAD,default_s5_t200,ok,ok,results/posebench_702_predictions/chai1_gpu/astex_diverse/1K3U_IAD/default_s5_t200/predictions/pred.model_idx_1.cif,1.0,30.85607284822792,canonical_symmetry_classes:exact=21;greedy=0;direct=0,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1K3U_IAD/default_s5_t200/predictions/scores.model_idx_1.npz,0.8652759790420532,0.9185763001441956,0.8519508838653564,False,10.0,21.0,21.0,85.0,"A:174:2.46,A:234:2.55,A:211:2.59,A:233:2.64,A:59:2.68,A:213:2.78,A:212:2.97,A:183:2.98,A:182:3.25,A:231:3.28,A:232:3.43,A:21:3.44",0.544999814840966,False,1.1070755546044806,True,3.0,5.0,,,,,,,,,,,,,,,,
astex_diverse,1KE5_LS1,default_s5_t200,ok,ok,results/posebench_702_predictions/chai1_gpu/astex_diverse/1KE5_LS1/default_s5_t200/predictions/pred.model_idx_3.cif,3.0,0.5578099498351504,canonical_symmetry_classes:exact=20;greedy=0;direct=0,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1KE5_LS1/default_s5_t200/predictions/scores.model_idx_3.npz,0.8815767168998718,0.9422680139541626,0.8664038777351379,False,10.0,23.0,23.0,63.0,"A:75:2.89,A:73:2.98,A:76:3.06,A:81:3.11,A:30:3.27,A:126:3.28,A:78:3.32,A:74:3.32,A:9:3.39,A:72:3.42,A:77:3.51,A:137:3.54",0.6999658832584983,True,0.49568809975038614,True,4.0,5.0,,,,,,,,,,,,,,,,
astex_diverse,1KZK_JE2,default_s5_t200,ok,ok,results/posebench_702_predictions/chai1_gpu/astex_diverse/1KZK_JE2/default_s5_t200/predictions/pred.model_idx_0.cif,0.0,0.5833755408073605,canonical_symmetry_classes:exact=38;greedy=0;direct=0,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1KZK_JE2/default_s5_t200/predictions/scores.model_idx_0.npz,0.9418821930885315,0.9615916013717651,0.9369547963142395,False,10.0,41.0,41.0,88.0,"A:24:2.62,B:24:2.67,A:29:2.68,A:26:3.00,B:47:3.33,B:29:3.35,A:27:3.41,A:47:3.42,A:49:3.47,A:48:3.48,B:26:3.51,A:28:3.51",0.26208977658374083,True,0.5833755408073605,True,0.0,5.0,,,,,,,,,,,,,,,,
astex_diverse,1L2S_STC,default_s5_t200,ok,ok,results/posebench_702_predictions/chai1_gpu/astex_diverse/1L2S_STC/default_s5_t200/predictions/pred.model_idx_1.cif,1.0,0.7984321561735983,canonical_symmetry_classes:exact=16;greedy=0;direct=0,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1L2S_STC/default_s5_t200/predictions/scores.model_idx_1.npz,0.3926197588443756,0.611405611038208,0.3379232883453369,False,10.0,19.0,19.0,62.0,"B:314:2.67,B:60:2.70,B:148:2.72,B:63:3.12,B:116:3.49,B:313:3.51,B:217:3.51,B:316:3.54,B:315:3.62,B:59:3.93,B:115:3.95,B:289:3.96",0.28073742854409445,True,0.7984321561735983,True,1.0,5.0,,,,,,,,,,,,,,,,
